Scenario,Incentive,Discount_on_BEV,Segment,ICE_sale,BEV_sale,Total_lifetime_diesel,Total_lifetime_electricity,Total_incentive,kWh_per_dollar
Base,0,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,0,0,Bus,6000.0,0.0,39910702.14936529,0.0,0.0,-
Base,2000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,2000,0,Bus,6000.0,0.0,39910702.14936529,0.0,0.0,-
Base,4000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,4000,0,Bus,6000.0,0.0,39910702.14936529,0.0,0.0,-
Base,6000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,6000,0,Bus,6000.0,0.0,39910702.14936529,0.0,0.0,-
Base,8000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,8000,0,Bus,6000.0,0.0,39910702.14936529,0.0,0.0,-
Base,10000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,10000,0,Bus,6000.0,0.0,39910702.14936529,0.0,0.0,-
Base,12000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,12000,0,Bus,6000.0,0.0,39910702.14936529,0.0,0.0,-
Base,14000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,14000,0,Bus,6000.0,0.0,39910702.14936529,0.0,0.0,-
Base,16000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,16000,0,Bus,5990.0,10.0,39776415.88815516,1920321.3770659552,160000.0,12.00200860666222
Base,18000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,18000,0,Bus,5990.0,10.0,39776415.88815516,1920321.3770659552,180000.0,10.668452094810862
Base,20000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,20000,0,Bus,5990.0,10.0,39776415.88815516,1920321.3770659552,200000.0,9.601606885329776
Base,22000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,22000,0,Bus,5990.0,10.0,39776415.88815516,1920321.3770659552,220000.0,8.728733532117978
Base,24000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,24000,0,Bus,5980.0,20.0,39650016.04792617,3727865.2989990176,480000.0,7.7663860395812865
Base,26000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,26000,0,Bus,5980.0,20.0,39650016.04792617,3727865.2989990176,520000.0,7.168971728844265
Base,28000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,28000,0,Bus,5980.0,20.0,39650016.04792617,3727865.2989990176,560000.0,6.656902319641103
Base,30000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,30000,0,Bus,5970.0,30.0,39540810.12613617,5289532.622415018,900000.0,5.8772584693500205
Base,32000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,32000,0,Bus,5970.0,30.0,39540810.12613617,5289532.622415018,960000.0,5.509929815015644
Base,34000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,34000,0,Bus,5950.0,50.0,39311057.4357017,8575043.730579488,1700000.0,5.044143370929111
Base,36000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,36000,0,Bus,5940.0,60.0,39196681.19642847,10210647.665974716,2160000.0,4.727151697210517
Base,38000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,38000,0,Bus,5940.0,60.0,39196681.19642847,10210647.665974716,2280000.0,4.478354239462595
Base,40000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,40000,0,Bus,5920.0,80.0,38970345.79209979,13447290.874315793,3200000.0,4.202278398223685
Base,42000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,42000,0,Bus,5900.0,100.0,38747366.03618788,16635947.61456542,4200000.0,3.960939908229862
Base,44000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,44000,0,Bus,5890.0,110.0,38638677.84791243,18190211.24138077,4840000.0,3.7583081077232996
Base,46000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,46000,0,Bus,5860.0,140.0,38325937.377689056,22662464.806501023,6440000.0,3.5190162743014013
Base,48000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,48000,0,Bus,5850.0,150.0,38215586.46323033,24240505.76247272,7200000.0,3.3667369114545442
Base,50000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,50000,0,Bus,5810.0,190.0,37810446.307275474,30034093.99091095,9500000.0,3.1614835779906265
Base,52000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,52000,0,Bus,5790.0,210.0,37603489.228271514,32993623.129372634,10920000.0,3.0213940594663584
Base,54000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,54000,0,Bus,5720.0,280.0,36909151.327183366,42922799.07299654,15120000.0,2.8388094624997713
Base,56000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,56000,0,Bus,5680.0,320.0,36519295.97994618,48497811.36775104,17920000.0,2.7063510807896787
Base,58000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,58000,0,Bus,5570.0,430.0,35453386.11257237,63740543.46780324,24940000.0,2.5557555520370183
Base,60000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,60000,0,Bus,5500.0,500.0,34805083.0207081,73011412.09506318,30000000.0,2.433713736502106
Base,62000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,62000,0,Bus,5400.0,600.0,33873016.645856954,86340154.50207978,37200000.0,2.3209718952171987
Base,64000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,64000,0,Bus,5320.0,680.0,33161512.51157596,96514811.13946073,43520000.0,2.217711653020697
Base,66000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,66000,0,Bus,5200.0,800.0,32097459.863783397,111730984.61444111,52800000.0,2.1161171328492636
Base,68000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,68000,0,Bus,5090.0,910.0,31160636.570465103,125127751.9417967,61880000.0,2.0221032957627134
Base,70000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,70000,0,Bus,4960.0,1040.0,30048972.7606863,141024774.90447015,72800000.0,1.9371535014350294
Base,72000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,72000,0,Bus,4810.0,1190.0,28825605.64521482,158519178.298154,85680000.0,1.8501304656647293
Base,74000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,74000,0,Bus,4680.0,1320.0,27783078.27657576,173427535.81837252,97680000.0,1.775466173406762
Base,76000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,76000,0,Bus,4550.0,1450.0,26742791.340847574,188303854.68345344,110200000.0,1.708746412735512
Base,78000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,78000,0,Bus,4280.0,1720.0,24645152.01464113,218300531.9547464,134160000.0,1.6271655631689506
Base,80000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,80000,0,Bus,4080.0,1920.0,23154453.114338778,239617835.29779023,153600000.0,1.5600119485533217
Base,82000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,82000,0,Bus,3930.0,2070.0,22049723.765666604,255415694.0289072,169740000.0,1.5047466362018806
Base,84000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,84000,0,Bus,3700.0,2300.0,20386127.99260558,279205458.4993543,193200000.0,1.445162828671606
Base,86000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,86000,0,Bus,3490.0,2510.0,18913355.63745545,300266408.5299853,215860000.0,1.39102385124611
Base,88000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,88000,0,Bus,3300.0,2700.0,17613691.86785865,318851869.89635473,237600000.0,1.3419691493954324
Base,90000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,90000,0,Bus,3060.0,2940.0,15995337.840410091,341994668.02450824,264600000.0,1.292496855723765
Base,92000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,92000,0,Bus,2850.0,3150.0,14638285.3950217,361400799.3531731,289800000.0,1.2470697010116394
Base,94000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,94000,0,Bus,2640.0,3360.0,13321221.228798069,380235089.9989552,315840000.0,1.203885163370552
Base,96000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,96000,0,Bus,2400.0,3600.0,11881990.78625456,400816383.7250192,345600000.0,1.1597696288339676
Base,98000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,98000,0,Bus,2110.0,3890.0,10168233.529247556,425323467.8159455,381220000.0,1.1156903305596388
Base,100000,0,Day_cab,200000.0,0.0,1886453928.3438466,0.0,0.0,-
Base,100000,0,Bus,1880.0,4120.0,8877234.119835349,443785027.0352812,412000000.0,1.0771481238720417
