Year,Day_cab,Sleeper,Bus
2005,0.5,0.5,1.0
2006,0.5,0.5,1.0
2007,0.5,0.5,1.0
2008,0.5,0.5,1.0
2009,0.5,0.5,1.0
2010,0.5,0.5,1.0
2011,0.5,0.5,1.0
2012,0.5,0.5,1.0
2013,0.5,0.5,1.0
2014,0.5,0.5,1.0
2015,0.5,0.5,1.0
2016,0.5,0.5,1.0
2017,0.5,0.5,1.0
2018,0.5,0.5,1.0
2019,0.5,0.5,1.0
2020,0.5,0.5,1.0
2021,0.47333333333333333,0.47333333333333333,0.9666666666666667
2022,0.44666666666666666,0.44666666666666666,0.9333333333333333
2023,0.42,0.42,0.9
2024,0.3933333333333333,0.3933333333333333,0.8666666666666667
2025,0.36666666666666664,0.36666666666666664,0.8333333333333334
2026,0.33999999999999997,0.33999999999999997,0.8
2027,0.3133333333333333,0.3133333333333333,0.7666666666666667
2028,0.2866666666666666,0.2866666666666666,0.7333333333333334
2029,0.25999999999999995,0.25999999999999995,0.7000000000000001
2030,0.23333333333333328,0.23333333333333328,0.6666666666666667
2031,0.2066666666666666,0.2066666666666666,0.6333333333333334
2032,0.17999999999999994,0.17999999999999994,0.6000000000000001
2033,0.15333333333333327,0.15333333333333327,0.5666666666666668
2034,0.1266666666666666,0.1266666666666666,0.5333333333333334
2035,0.09999999999999992,0.09999999999999992,0.5000000000000001
