Year,diesel,electricity
2005,10.16,0.417
2006,10.16,0.417
2007,10.16,0.417
2008,10.16,0.417
2009,10.16,0.417
2010,10.16,0.417
2011,10.16,0.417
2012,10.16,0.417
2013,10.16,0.417
2014,10.16,0.417
2015,10.16,0.417
2016,10.16,0.417
2017,10.16,0.417
2018,10.16,0.417
2019,10.16,0.417
2020,10.16,0.417
2021,10.16,0.40309999999999996
2022,10.16,0.38919999999999993
2023,10.16,0.3752999999999999
2024,10.16,0.3613999999999999
2025,10.16,0.34749999999999986
2026,10.16,0.33359999999999984
2027,10.16,0.3196999999999998
2028,10.16,0.3057999999999998
2029,10.16,0.29189999999999977
2030,10.16,0.27799999999999975
2031,10.16,0.2640999999999997
2032,10.16,0.2501999999999997
2033,10.16,0.2362999999999997
2034,10.16,0.2223999999999997
2035,10.16,0.2084999999999997
